,Feature importance
embed1_23,8.888620257127382
embed1_50,8.630908197259487
embed1_15,7.739810968548244
embed1_51,7.145496933070652
embed1_6,6.34293804141616
embed1_14,6.041871248228384
embed2_26,5.655111821220345
embed1_42,4.976431409855339
embed1_17,4.651554435593371
embed1_59,4.605590252951877
embed2_23,4.169857981411078
embed2_51,3.033088545938216
embed1_8,3.006993537805293
embed1_19,2.8077713258956596
embed1_29,2.6367113026002778
embed2_14,2.3848686812636197
embed1_32,2.178667657691248
embed2_24,1.463532674035521
embed1_44,1.3509843100912795
embed2_32,1.3482714021727134
embed1_35,1.1735479597954572
embed2_6,1.0814100340311488
embed1_24,1.0675911785226255
embed1_61,1.0201056974286353
embed1_30,0.9221122483619713
embed1_1,0.818099627052137
embed2_27,0.5454536772364503
embed1_27,0.5191902091637537
embed2_35,0.4988916647648409
embed1_7,0.41858698381598475
embed2_19,0.3259479575878042
embed2_11,0.28970353796999215
embed1_28,0.26842527923865706
embed2_42,0.22633252134198178
embed1_25,0.22328333986131843
embed1_4,0.21240120540947516
embed1_55,0.20707640347924244
embed2_61,0.19330366109908936
embed2_1,0.184649581479775
embed2_44,0.12968133056439543
embed2_36,0.12510364815436464
embed2_54,0.10594477838274477
embed1_47,0.09530435236865065
embed2_63,0.07249917348606502
embed2_57,0.06278783301447435
embed1_22,0.05073012232231973
embed2_60,0.047648199579051295
embed1_16,0.035823741801678445
embed2_30,0.019283068509767177
embed1_12,0.0
